Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_012170858.1,LOC551197,LOC551197,XP_623595.1,551197,PREDICTED: probable cytochrome P450 6a13,GB45746,GB14913,XM_012315468.1,probable cytochrome P450 6a14,LOC100648257
XP_012170861.1,LOC725159,LOC725159,XP_016771320.1,725159,PREDICTED: probable cytochrome P450 6a14,GB40284,GB14594,XM_012315471.1,cytochrome P450 6A1-like,LOC100649469
XP_012170865.1,LOC409715,LOC409715,XP_016771426.1,409715,PREDICTED: bumetanide-sensitive sodium-(potassium)-chloride cotransporter,GB40283,GB15653,XM_012315475.1,bumetanide-sensitive sodium-(potassium)-chloride cotransporter,LOC100647910
XP_012170867.1,LOC550956,LOC550956,XP_006568103.1,550956,PREDICTED: ATP-dependent (S)-NAD(P)H-hydrate dehydratase,GB40289,GB16073,XM_012315477.1,ATP-dependent (S)-NAD(P)H-hydrate dehydratase isoform X2,LOC100648143
XP_012170872.1,LOC409714,LOC409714,XP_016771368.1,409714,PREDICTED: mucin-5AC isoform X1,GB40282,GB11354,XM_012315482.1,uncharacterized protein LOC100648338 isoform X1,LOC100648338
XP_012170873.1,LOC409714,LOC409714,XP_006568105.1,409714,PREDICTED: mucin-5AC isoform X2,GB40282,GB11354,XM_012315483.1,uncharacterized protein LOC100648338 isoform X2,LOC100648338
XP_012170875.1,LOC724728,LOC724728,XP_001120619.2,724728,PREDICTED: NF-kappa-B essential modulator,GB49918,GB17106,XM_012315485.1,NF-kappa-B essential modulator,LOC100648721
XP_012170876.1,LOC724505,LOC724505,XP_006565120.1,724505,PREDICTED: PAB-dependent poly(A)-specific ribonuclease subunit PAN2 isoform X2,GB49859,GB12069,XM_012315486.1,PAB-dependent poly(A)-specific ribonuclease subunit PAN2 isoform X2,LOC100649512
XP_012170877.1,LOC724548,LOC724548,XP_006565115.1,724548,PREDICTED: integrin alpha-PS2 isoform X2,GB49921,GB13598,XM_012315487.1,integrin alpha-PS2 isoform X2,LOC100649030
XP_012170879.1,LOC100578423,LOC100578423,XP_016771457.1,100578423,PREDICTED: uncharacterized protein LOC100578423 isoform X1,GB49924,GB11151,XM_012315489.1,"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like isoform X2",LOC100649594
XP_012170880.1,LOC550732,LOC550732,XP_016771455.1,550732,PREDICTED: trichohyalin isoform X1,GB49853,GB14048,XM_012315490.1,serine-enriched protein isoform X1,LOC100649708
XP_012170885.1,LOC410470,LOC410470,XP_006565133.1,410470,PREDICTED: putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1,GB49852,GB13681,XM_012315495.1,putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X1,LOC100649855
XP_012170886.1,LOC410470,LOC410470,XP_006565134.1,410470,PREDICTED: putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X2,GB49852,GB13681,XM_012315496.1,putative polypeptide N-acetylgalactosaminyltransferase 9 isoform X2,LOC100649855
XP_012170888.1,LOC725542,LOC725542,XP_001121375.2,725542,PREDICTED: arrestin domain-containing protein 2 isoform X3,GB47767,GB18367,XM_012315498.1,arrestin domain-containing protein 2-like,LOC100649824
XP_012170889.1,LOC552062,LOC552062,XP_006571834.1,552062,PREDICTED: protein argonaute-2 isoform X1,GB48208,GB12654,XM_012315499.1,protein argonaute-2 isoform X1,LOC100650374
XP_012170890.1,LOC552062,LOC552062,XP_006571836.1,552062,PREDICTED: protein argonaute-2 isoform X2,GB48208,GB12654,XM_012315500.1,protein argonaute-2 isoform X2,LOC100650374
XP_012170894.1,LOC100579055,LOC100579055,XP_016772683.1,100579055,PREDICTED: multiple coagulation factor deficiency protein 2 homolog,GB48200,NA,XM_012315504.1,multiple coagulation factor deficiency protein 2 homolog,LOC100650782
XP_012170895.1,LOC726538,LOC726538,XP_006571839.1,726538,PREDICTED: homeobox protein prophet of Pit-1,GB48210,GB11083,XM_012315505.1,homeobox protein prophet of Pit-1,LOC100649943
XP_012170898.1,LOC727146,LOC727146,XP_016772681.1,727146,PREDICTED: sphingomyelin phosphodiesterase isoform X1,GB48199,GB17174,XM_012315508.1,sphingomyelin phosphodiesterase isoform X3,LOC100651097
XP_012170899.1,LOC727146,LOC727146,XP_006571842.1,727146,PREDICTED: sphingomyelin phosphodiesterase isoform X2,GB48199,GB17174,XM_012315509.1,sphingomyelin phosphodiesterase isoform X4,LOC100651097
XP_012170905.1,LOC411805,LOC411805,XP_395272.3,411805,"PREDICTED: WD repeat, SAM and U-box domain-containing protein 1-like isoform X1",GB54758,GB11781,XM_012315515.1,"WD repeat, SAM and U-box domain-containing protein 1-like isoform X1",LOC100650976
XP_012170909.1,LOC551149,LOC551149,XP_006557869.1,551149,PREDICTED: myosin-2 essential light chain isoform X1,NA,GB10503,XM_012315519.1,myosin-2 essential light chain isoform X1,LOC100651656
XP_012170910.1,LOC551149,LOC551149,XP_006557871.1,551149,PREDICTED: myosin-2 essential light chain isoform X3,NA,GB10503,XM_012315520.1,myosin-2 essential light chain isoform X2,LOC100651656
XP_012170912.1,LOC107965449,LOC107965449,XP_016771422.1,107965449,PREDICTED: ras-related protein RabJ-like isoform X1,NA,NA,XM_012315522.1,ras-related protein RabJ,LOC100651772
XP_012170913.1,LOC410402,LOC410402,XP_006557875.1,410402,PREDICTED: transmembrane protease serine 9 isoform X2,GB54762,GB14077,XM_012315523.1,uncharacterized protein LOC100652014,LOC100652014
XP_012170914.1,LOC100576819,LOC100576819,XP_016771440.1,100576819,PREDICTED: caspase Dronc,GB54764,GB18722,XM_012315524.1,caspase-6,LOC100652135
XP_012170915.1,LOC408397,LOC408397,XP_006557879.1,408397,PREDICTED: 26S proteasome non-ATPase regulatory subunit 11,GB54747,GB18440,XM_012315525.1,26S proteasome non-ATPase regulatory subunit 11,LOC100642224
XP_012170918.1,LOC100577451,LOC100577451,XP_003249179.2,100577451,PREDICTED: glycolipid transfer protein,GB54746,GB14335,XM_012315528.1,glycolipid transfer protein-like isoform X2,LOC100642345
XP_012170919.1,LOC551392,LOC551392,XP_016771176.1,551392,"PREDICTED: U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like, partial",GB54741,GB10307,XM_012315529.1,U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like,LOC100643134
XP_012170924.1,LOC408398,LOC408398,XP_016771307.1,408398,PREDICTED: cytochrome P450 306a1 isoform X1,GB54743,GB12311,XM_012315534.1,cytochrome P450 306a1,LOC100650054
XP_012170926.1,LOC102654448,LOC102654448,XP_016771177.1,102654448,PREDICTED: LOW QUALITY PROTEIN: endochitinase A-like,NA,NA,XM_012315536.1,protein tiptop isoform X2,LOC100650416
XP_012170927.1,LOC726597,LOC726597,XP_016771310.1,726597,PREDICTED: zinc finger protein 729,NA,GB14841,XM_012315537.1,zinc finger protein 845,LOC100643257
XP_012170929.1,LOC409566,LOC409566,XP_393072.2,409566,PREDICTED: SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,GB50850,GB19041,XM_012315539.1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,LOC100645668
XP_012170930.1,LOC408399,arm,XP_016771134.1,408399,PREDICTED: armadillo segment polarity protein isoform X2,GB54774,GB12463,XM_012315540.1,armadillo segment polarity protein isoform X3,LOC100643381
XP_012170931.1,LOC551502,LOC551502,XP_006557894.1,551502,PREDICTED: atrial natriuretic peptide-converting enzyme,GB54775,GB13019,XM_012315541.1,atrial natriuretic peptide-converting enzyme-like isoform X1,LOC100643501
XP_012170933.1,LOC413575,LOC413575,XP_006571359.1,413575,PREDICTED: facilitated trehalose transporter Tret1-like,GB48937,GB12135,XM_012315543.1,facilitated trehalose transporter Tret1,LOC100647601
XP_012170934.1,LOC100578100,LOC100578100,XP_003249184.2,100578100,PREDICTED: uncharacterized protein LOC100578100,GB54735,NA,XM_012315544.1,uncharacterized protein LOC105666401,LOC105666401
XP_012170935.1,LOC102655268,LOC102655268,XP_006557897.1,102655268,PREDICTED: WD repeat-containing protein 63-like,NA,NA,XM_012315545.1,WD repeat-containing protein 63-like,LOC105666402
XP_012170937.1,LOC551650,LOC551650,XP_624043.2,551650,PREDICTED: syntenin-1-like isoform X1,GB54779,GB17321,XM_012315547.1,syntenin-1-like,LOC100644415
XP_012170940.1,LOC100576994,LOC100576994,XP_006557904.2,100576994,PREDICTED: uncharacterized protein LOC100576994 isoform X2,GB54782,GB12852,XM_012315550.1,uncharacterized protein LOC100644977,LOC100644977
XP_012170943.1,LOC100578321,LOC100578321,XP_006557908.1,100578321,PREDICTED: host cell factor 2-like isoform X1,GB54728,GB10187,XM_012315553.1,uncharacterized protein LOC100644654 isoform X1,LOC100644654
XP_012170944.1,LOC551412,LOC551412,XP_623808.1,551412,PREDICTED: polycomb protein EED-like,NA,GB15930,XM_012315554.1,polycomb protein EED-like,LOC105665624
XP_012170945.1,LOC408402,LOC408402,XP_016771212.1,408402,PREDICTED: acetyl-coenzyme A transporter 1,GB54783,GB10219,XM_012315555.1,acetyl-coenzyme A transporter 1,LOC100645097
XP_012170946.1,LOC551796,LOC551796,XP_006557900.1,551796,PREDICTED: cationic amino acid transporter 4,GB54724,GB16836,XM_012315556.1,cationic amino acid transporter 4,LOC100645345
XP_012170947.1,LOC551822,LOC551822,XP_624210.1,551822,PREDICTED: ATP-dependent RNA helicase DDX42,GB54784,GB17427,XM_012315557.1,ATP-dependent RNA helicase DDX42,LOC100645464
XP_012170949.1,LOC726862,LOC726862,XP_006557940.1,726862,PREDICTED: DNA repair protein REV1,GB54718,GB12986,XM_012315559.1,DNA repair protein REV1,LOC105665615
XP_012170950.1,LOC409846,LOC409846,XP_393336.2,409846,PREDICTED: GMP synthase,GB54789,GB10491,XM_012315560.1,GMP synthase [glutamine-hydrolyzing],LOC100646269
XP_012170951.1,LOC552016,LOC552016,XP_624399.2,552016,PREDICTED: mitochondrial 2-oxoglutarate/malate carrier protein-like,GB54717,NA,XM_012315561.1,mitochondrial 2-oxoglutarate/malate carrier protein-like,LOC100646155
XP_012170952.1,LOC413267,LOC413267,XP_006557930.1,413267,PREDICTED: protein kintoun isoform X1,GB54715,GB10915,XM_012315562.1,protein kintoun isoform X1,LOC100646601
XP_012170954.1,LOC102653604,LOC102653604,XP_016771196.1,102653604,PREDICTED: adenylate kinase 9-like,NA,GB13161,XM_012315564.1,adenylate kinase 9-like,LOC105666403
XP_012170955.1,LOC413266,LOC413266,XP_016771213.1,413266,PREDICTED: obg-like ATPase 1,GB54714,NA,XM_012315565.1,obg-like ATPase 1,LOC100646722
XP_012170956.1,LOC552146,LOC552146,XP_006558599.1,552146,"PREDICTED: transcription factor Sp9-like, partial",GB48278,GB15089,XM_012315566.1,LOW QUALITY PROTEIN: transcription factor Sp9,LOC100650783
XP_012170957.1,LOC494501,TpnCIIb,NP_001011654.1,494501,troponin C type IIb,GB48216,GB13484,XM_012315567.1,troponin C-like,LOC105666404
XP_012170958.1,LOC552209,LOC552209,XP_006558596.1,552209,PREDICTED: neo-calmodulin-like isoform X3,GB48275,GB12871,XM_012315568.1,calmodulin-A-like isoform X2,LOC100647159
XP_012170959.1,LOC552209,LOC552209,XP_006558598.1,552209,PREDICTED: neo-calmodulin-like isoform X6,GB48275,GB12871,XM_012315569.1,neo-calmodulin-like isoform X3,LOC100647159
XP_012170960.1,LOC552209,LOC552209,XP_016771319.1,552209,PREDICTED: neo-calmodulin-like isoform X7,GB48275,GB12871,XM_012315570.1,neo-calmodulin-like isoform X4,LOC100647159
XP_012170962.1,LOC552255,Br-c,XP_006558525.1,552255,PREDICTED: broad-complex isoform X1,GB48271,GB30150,XM_012315572.1,broad-complex core protein isoforms 1/2/3/4/5-like,LOC100651260
XP_012170966.1,LOC102654964,LOC102654964,XP_016771277.1,102654964,PREDICTED: uncharacterized protein LOC102654964 isoform X2,NA,NA,XM_012315576.1,uncharacterized protein LOC105666405 isoform X1,LOC105666405
XP_012170970.1,LOC100577045,LOC100577045,XP_006558592.1,100577045,PREDICTED: uncharacterized protein LOC100577045 isoform X1,GB48270,GB15607,XM_012315580.1,uncharacterized protein LOC100647394,LOC100647394
XP_012170971.1,LOC410103,LOC410103,XP_003249325.1,410103,PREDICTED: partner of Y14 and mago-like,GB48219,GB18277,XM_012315581.1,LOW QUALITY PROTEIN: partner of Y14 and mago,LOC100647515
XP_012170972.1,LOC552398,LOC552398,XP_016771435.1,552398,"PREDICTED: beta-1,3-galactosyltransferase 1-like isoform X2",GB48222,GB20138,XM_012315582.1,"beta-1,3-galactosyltransferase 1-like isoform X2",LOC100647992
XP_012170974.1,LOC413880,LOC413880,XP_006558583.1,413880,PREDICTED: peroxisomal targeting signal 1 receptor,GB48223,GB19731,XM_012315584.1,peroxisomal targeting signal 1 receptor,LOC100647873
XP_012170975.1,LOC552409,LOC552409,XP_006558585.1,552409,PREDICTED: G patch domain-containing protein 4,GB48267,GB15188,XM_012315585.1,G patch domain-containing protein 4,LOC100648180
XP_012170980.1,LOC410413,LOC410413,XP_016771179.1,410413,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC410413,GB48263,GB14622,XM_012315590.1,flocculation protein FLO11-like isoform X1,LOC100651499
XP_012170984.1,LOC100576671,LOC100576671,XP_006558575.1,100576671,PREDICTED: polycomb group protein Psc-like isoform X1,GB48262,NA,XM_012315594.1,polycomb group protein Psc-like isoform X1,LOC100648837
XP_012170985.1,LOC100576671,LOC100576671,XP_006558578.1,100576671,PREDICTED: polycomb group protein Psc-like isoform X2,GB48262,NA,XM_012315595.1,polycomb group protein Psc-like isoform X2,LOC100648837
XP_012170986.1,LOC410805,LOC410805,XP_394281.3,410805,PREDICTED: open rectifier potassium channel protein 1 isoform X1,GB55505,GB19443,XM_012315596.1,open rectifier potassium channel protein 1 isoform X2,LOC100646496
XP_012170987.1,LOC406141,Pla2,NP_001011614.1,406141,phospholipase A2 precursor,GB48228,GB13351,XM_012315597.1,phospholipase A2,LOC105666408
XP_012170989.1,LOC102654165,LOC102654165,XP_006558573.1,102654165,PREDICTED: transmembrane protein 132E isoform X1,NA,GB11990,XM_012315599.1,transmembrane protein 132C isoform X1,LOC100651851
XP_012170990.1,LOC102654165,LOC102654165,XP_006558574.1,102654165,PREDICTED: transmembrane protein 132C isoform X2,NA,GB11990,XM_012315600.1,transmembrane protein 132C isoform X2,LOC100651851
XP_012170992.1,LOC100576527,LOC100576527,XP_016771382.1,100576527,PREDICTED: cyclic AMP-dependent transcription factor ATF-2 isoform X2,GB48230,GB16736,XM_012315602.1,cyclic AMP-dependent transcription factor ATF-2 isoform X2,LOC100649707
XP_012170993.1,LOC552578,LOC552578,XP_006558565.1,552578,PREDICTED: uncharacterized protein LOC552578,GB48232,GB17674,XM_012315603.1,uncharacterized protein LOC100649896,LOC100649896
XP_012170995.1,LOC410417,LOC410417,XP_006558601.1,410417,PREDICTED: receptor-type tyrosine-protein phosphatase kappa-like,GB48234,GB11617,XM_012315605.1,receptor-type tyrosine-protein phosphatase kappa-like isoform X2,LOC100642418
XP_012170999.1,LOC725290,LOC725290,XP_016771261.1,725290,PREDICTED: transcription factor CP2-like protein 1 isoform X1,GB48238,GB11947,XM_012315609.1,transcription factor CP2-like protein 1 isoform X1,LOC100650338
XP_012171000.1,LOC725290,LOC725290,XP_006558550.1,725290,PREDICTED: transcription factor CP2-like protein 1 isoform X2,GB48238,GB11947,XM_012315610.1,transcription factor CP2-like protein 1 isoform X2,LOC100650338
XP_012171001.1,LOC725290,LOC725290,XP_006558551.1,725290,PREDICTED: transcription factor CP2-like protein 1 isoform X3,GB48238,GB11947,XM_012315611.1,transcription factor CP2-like protein 1 isoform X3,LOC100650338
XP_012171011.1,LOC408406,LOC408406,XP_016771264.1,408406,PREDICTED: cyclin-dependent kinase 4,GB48243,GB16688,XM_012315621.1,cyclin-dependent kinase 4-like,LOC100650977
XP_012171012.1,LOC408405,LOC408405,XP_391954.4,408405,PREDICTED: uncharacterized protein LOC408405 isoform X1,GB48254,GB10736,XM_012315622.1,uncharacterized protein LOC100650216,LOC100650216
XP_012171014.1,LOC102656183,LOC102656183,XP_006558545.1,102656183,PREDICTED: histidine triad nucleotide-binding protein 1,NA,GB18404,XM_012315624.1,histidine triad nucleotide-binding protein 1,LOC105666409
XP_012171015.1,LOC408407,LOC408407,XP_003249313.1,408407,PREDICTED: translation machinery-associated protein 7 homolog,GB48245,NA,XM_012315625.1,translation machinery-associated protein 7 homolog,LOC105666410
XP_012171016.1,LOC410423,LOC410423,XP_006558544.1,410423,PREDICTED: uncharacterized protein LOC410423,GB48247,GB19397,XM_012315626.1,protein FAM214A isoform X1,LOC100651098
XP_012171022.1,LOC550955,LOC550955,XP_006558537.1,550955,PREDICTED: putative gamma-glutamylcyclotransferase CG2811 isoform X1,GB48250,GB14034,XM_012315632.1,putative gamma-glutamylcyclotransferase CG2811 isoform X1,LOC100651657
XP_012171023.1,LOC550955,LOC550955,XP_006558538.1,550955,PREDICTED: putative gamma-glutamylcyclotransferase CG2811 isoform X2,GB48250,GB14034,XM_012315633.1,putative gamma-glutamylcyclotransferase CG2811 isoform X2,LOC100651657
XP_012171024.1,LOC410806,LOC410806,XP_006568760.1,410806,"PREDICTED: histidine--tRNA ligase, cytoplasmic isoform X2",GB55506,GB19522,XM_012315634.1,"histidine--tRNA ligase, cytoplasmic isoform X2",LOC100646284
XP_012171025.1,LOC552707,LOC552707,XP_006558540.1,552707,PREDICTED: protein CDV3 homolog,GB48248,GB13890,XM_012315635.1,LOW QUALITY PROTEIN: protein CDV3 homolog A,LOC100642536
XP_012171026.1,LOC410425,LOC410425,XP_006559368.1,410425,PREDICTED: lipoma HMGIC fusion partner-like 2 protein,GB50677,GB19886,XM_012315636.1,lipoma HMGIC fusion partner-like 2 protein,LOC100642383
XP_012171028.1,LOC408408,LOC408408,XP_016771227.1,408408,PREDICTED: uncharacterized protein LOC408408,GB50675,GB19111,XM_012315638.1,uncharacterized protein LOC100651932,LOC100651932
XP_012171031.1,LOC102654313,LOC102654313,XP_006559370.1,102654313,PREDICTED: uncharacterized protein LOC102654313,NA,NA,XM_012315641.1,uncharacterized protein LOC105666412,LOC105666412
XP_012171033.1,LOC408409,LOC408409,XP_006559371.1,408409,PREDICTED: UPF0430 protein CG31712 isoform X1,GB50679,GB14988,XM_012315643.1,arginine and glutamate-rich protein 1 isoform X1,LOC100652171
XP_012171036.1,LOC408409,LOC408409,XP_006559373.1,408409,PREDICTED: UPF0430 protein CG31712 isoform X3,GB50679,GB14988,XM_012315646.1,UPF0430 protein CG31712 isoform X4,LOC100652171
XP_012171037.1,LOC408409,LOC408409,XP_006559372.1,408409,PREDICTED: UPF0430 protein CG31712 isoform X2,GB50679,GB14988,XM_012315647.1,UPF0430 protein CG31712 isoform X5,LOC100652171
XP_012171038.1,LOC410806,LOC410806,XP_006568762.1,410806,"PREDICTED: histidine--tRNA ligase, cytoplasmic isoform X3",GB55506,GB19522,XM_012315648.1,"histidine--tRNA ligase, cytoplasmic isoform X3",LOC100646284
XP_012171039.1,LOC408409,LOC408409,XP_006559374.1,408409,PREDICTED: UPF0430 protein CG31712 isoform X4,GB50679,GB14988,XM_012315649.1,UPF0430 protein CG31712 isoform X6,LOC100652171
XP_012171042.1,LOC410427,LOC410427,XP_016771231.1,410427,PREDICTED: serine/threonine-protein kinase 26 isoform X4,GB50672,GB10792,XM_012315652.1,serine/threonine-protein kinase 25 isoform X4,LOC100652052
XP_012171043.1,LOC726093,LOC726093,XP_016771235.1,726093,PREDICTED: tetratricopeptide repeat protein 14 homolog isoform X2,GB50683,GB19103,XM_012315653.1,serine/arginine repetitive matrix protein 2 isoform X1,LOC100642774
XP_012171044.1,LOC726093,LOC726093,XP_016771237.1,726093,PREDICTED: serine/arginine repetitive matrix protein 2 isoform X4,GB50683,GB19103,XM_012315654.1,serine/arginine repetitive matrix protein 2 isoform X2,LOC100642774
XP_012171046.1,LOC408411,LOC408411,XP_016771283.1,408411,PREDICTED: transcription factor Sox-2 isoform X2,GB50686,GB19937,XM_012315656.1,transcription factor Sox-2 isoform X1,LOC100643013
XP_012171047.1,LOC408411,LOC408411,XP_006559383.1,408411,PREDICTED: transcription factor Sox-2 isoform X4,GB50686,GB19937,XM_012315657.1,transcription factor Sox-2 isoform X2,LOC100643013
XP_012171049.1,LOC408412,LOC408412,XP_016771285.1,408412,PREDICTED: protein l(2)37Cc,GB50663,GB18647,XM_012315659.1,protein l(2)37Cc,LOC100643135
XP_012171051.1,LOC726248,LOC726248,XP_016771279.1,726248,PREDICTED: chaoptin,GB50660,GB17501,XM_012315661.1,slit homolog 3 protein,LOC100642899
XP_012171052.1,LOC413491,LOC413491,XP_006559386.1,413491,PREDICTED: nucleoside diphosphate-linked moiety X motif 19-like,GB50657,GB17839,XM_012315662.1,"LOW QUALITY PROTEIN: nucleoside diphosphate-linked moiety X motif 19, mitochondrial-like",LOC105666416
XP_012171053.1,LOC551739,LOC551739,XP_624130.2,551739,PREDICTED: DNA primase large subunit isoform X1,GB50658,GB14053,XM_012315663.1,DNA primase large subunit-like,LOC100644033
XP_012171055.1,LOC100578537,LOC100578537,XP_003249446.2,100578537,PREDICTED: UV radiation resistance-associated gene protein,GB43439,GB18881,XM_012315665.1,UV radiation resistance-associated gene protein isoform X1,LOC100645157
XP_012171057.1,LOC726456,LOC726456,XP_016771304.1,726456,PREDICTED: unconventional myosin-Va,GB50690,GB15908,XM_012315667.1,unconventional myosin-Va isoform X1,LOC100644655
XP_012171059.1,LOC726472,LOC726472,XP_001122204.2,726472,PREDICTED: prohormone-3,GB50651,GB14512,XM_012315669.1,prohormone-3,LOC100644904
XP_012171063.1,LOC409826,LOC409826,XP_006559395.1,409826,PREDICTED: proteoglycan 4,GB50650,GB14309,XM_012315673.1,mucin-4,LOC100645023
XP_012171066.1,LOC100576248,LOC100576248,XP_016771182.1,100576248,PREDICTED: uncharacterized protein LOC100576248,GB50647,GB10487,XM_012315676.1,balbiani ring protein 3-like,LOC105666417
XP_012171068.1,LOC726598,LOC726598,XP_016771430.1,726598,PREDICTED: putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,GB50695,GB15401,XM_012315678.1,probable pre-mRNA-splicing factor ATP-dependent RNA helicase mog-4,LOC100643340
XP_012171069.1,LOC408414,LOC408414,XP_006560146.1,408414,PREDICTED: tropomyosin-1,GB47990,GB10939,XM_012315679.1,tropomyosin-1,LOC100646315
XP_012171070.1,LOC724205,LOC724205,XP_006560145.1,724205,PREDICTED: protein AF-9,GB48010,GB14188,XM_012315680.1,protein AF-9 isoform X1,LOC100645808
XP_012171071.1,LOC408415,LOC408415,XP_391962.1,408415,PREDICTED: biogenesis of lysosome-related organelles complex 1 subunit 1,GB47991,GB12446,XM_012315681.1,biogenesis of lysosome-related organelles complex 1 subunit 1,LOC100646516
XP_012171072.1,LOC102656244,LOC102656244,XP_006560144.1,102656244,PREDICTED: uncharacterized protein LOC102656244,NA,NA,XM_012315682.1,uncharacterized protein LOC100646876,LOC100646876
XP_012171073.1,LOC726349,LOC726349,XP_006571351.1,726349,PREDICTED: actin-binding LIM protein 2 isoform X1,GB48940,GB15905,XM_012315683.1,actin-binding LIM protein 2 isoform X1,LOC100647405
XP_012171076.1,LOC408417,LOC408417,XP_006560139.1,408417,PREDICTED: CTD nuclear envelope phosphatase 1 homolog isoform X1,GB47996,GB13371,XM_012315686.1,CTD nuclear envelope phosphatase 1 homolog isoform X1,LOC100647475
XP_012171077.1,LOC408417,LOC408417,XP_006560140.1,408417,PREDICTED: CTD nuclear envelope phosphatase 1 homolog isoform X2,GB47996,GB13371,XM_012315687.1,CTD nuclear envelope phosphatase 1 homolog isoform X2,LOC100647475
XP_012171080.1,LOC408418,LOC408418,XP_391965.1,408418,PREDICTED: AP-2 complex subunit mu,GB47998,GB11701,XM_012315690.1,AP-2 complex subunit mu,LOC100647704
XP_012171086.1,LOC724592,LOC724592,XP_016771289.1,724592,PREDICTED: uncharacterized protein LOC724592 isoform X4,GB48002,GB13816,XM_012315696.1,calmodulin-binding transcription activator 2 isoform X5,LOC100647819
XP_012171088.1,LOC724592,LOC724592,XP_016771290.1,724592,PREDICTED: calmodulin-binding transcription activator 2 isoform X5,GB48002,GB13816,XM_012315698.1,calmodulin-binding transcription activator 2 isoform X6,LOC100647819
XP_012171090.1,LOC408420,LOC408420,XP_016771296.1,408420,PREDICTED: serine-rich adhesin for platelets isoform X1,GB48007,GB19169,XM_012315700.1,PHD finger protein rhinoceros isoform X1,LOC100643462
XP_012171092.1,LOC408420,LOC408420,XP_016771297.1,408420,PREDICTED: RING finger protein nhl-1 isoform X2,GB48007,GB19169,XM_012315702.1,RING finger protein nhl-1 isoform X3,LOC100643462
XP_012171093.1,LOC408420,LOC408420,XP_016771298.1,408420,PREDICTED: RING finger protein nhl-1 isoform X3,GB48007,GB19169,XM_012315703.1,RING finger protein nhl-1 isoform X4,LOC100643462
XP_012171097.1,LOC410435,5-HT1,XP_006560117.1,410435,PREDICTED: serotonin receptor isoform X1,GB48005,GB16007,XM_012315707.1,5-hydroxytryptamine receptor-like isoform X1,LOC100647940
XP_012171101.1,LOC100576851,LOC100576851,XP_006557935.1,100576851,PREDICTED: ornithine decarboxylase antizyme 1,NA,GB11776,XM_012315711.1,ornithine decarboxylase antizyme 1,LOC105666419
XP_012171103.1,LOC726852,LOC726852,XP_016771225.1,726852,PREDICTED: cytochrome b5 domain-containing protein 1,GB54719,NA,XM_012315713.1,cytochrome b5 domain-containing protein 1,LOC100650660
XP_012171104.1,LOC410804,LOC410804,XP_394280.3,410804,"PREDICTED: FYVE, RhoGEF and PH domain-containing protein 4-like",GB55507,GB16605,XM_012315714.1,"FYVE, RhoGEF and PH domain-containing protein 4-like",LOC100646734
XP_012171106.1,LOC100577569,LOC100577569,XP_016771276.1,100577569,PREDICTED: uncharacterized protein LOC100577569,GB48269,GB19699,XM_012315716.1,uncharacterized protein LOC100651382,LOC100651382
XP_012171107.1,LOC102655303,LOC102655303,XP_006572485.1,102655303,PREDICTED: uncharacterized protein LOC102655303,NA,GB11302,XM_012315717.1,uncharacterized protein LOC105666422,LOC105666422
XP_012171108.1,LOC102653848,LOC102653848,XP_016771385.1,102653848,PREDICTED: uncharacterized protein LOC102653848,NA,NA,XM_012315718.1,uncharacterized protein LOC105665628,LOC105665628
XP_012171109.1,LOC102653890,LOC102653890,XP_016771380.1,102653890,PREDICTED: DNA ligase 1-like isoform X1,NA,NA,XM_012315719.1,uncharacterized protein DDB_G0290685-like,LOC105665638
XP_012171112.1,LOC725247,LOC725247,XP_006558600.1,725247,PREDICTED: probable inactive tRNA-specific adenosine deaminase-like protein 3,NA,GB11993,XM_012315722.1,probable inactive tRNA-specific adenosine deaminase-like protein 3,LOC105666424
XP_012171113.1,LOC102654168,LOC102654168,XP_016771232.1,102654168,PREDICTED: leucine-rich repeat-containing protein 71-like,NA,GB13083,XM_012315723.1,leucine-rich repeat-containing protein 71-like,LOC105666425
XP_012171114.1,LOC410428,LOC410428,XP_006559400.1,410428,"PREDICTED: uncharacterized protein LOC410428, partial",GB50669,GB20131,XM_012315724.1,tubulin glycylase 3A-like,LOC100642657
XP_012171115.1,LOC102656393,LOC102656393,XP_016771239.1,102656393,PREDICTED: uncharacterized protein LOC102656393,NA,GB12064,XM_012315725.1,uncharacterized protein LOC105666426,LOC105666426
XP_012171117.1,LOC726434,LOC726434,XP_016771181.1,726434,PREDICTED: LOW QUALITY PROTEIN: DC-STAMP domain-containing protein 2-like,GB50653,GB14470,XM_012315727.1,uncharacterized protein LOC100643093,LOC100643093
